Name,Address,Pin,Phone,Mobile,Email,Website,Contact Person,Purpose,Aim/Objective
"Aadeeyoga Foundation, Mumbai","427/429, SVP Road, Prarthana Samaj, Charni Road
Mumbai","400004
Maharashtra",91-22-66340536,91-93222 95161,raksha131@gmail.com,http://www.aadeeyoga.org,Raksha Vadhaiya,Teach Yoga,"To promote yoga and similar self development education, knowledge, awareness by running schools colleges and promoting yoga educational events"
"Aadhar Charitable Trust, Mumbai","Mumbai
Mumbai","400088
Maharashtra",,91-98204 81442,aadhat.trust@yahoo.com,http://www.aadhartrust.com,Nilesh Pawar,,
"AAI Caretaker, Mumbai","B-4, Ashok Nagar, Vasinaka, Chembur
Mumbai","400074
Maharashtra",91-22-25530537,"91-98216 24480, 91-98216 24480",aaicaretaker@email.com,,Alex Isaac,"To protect and promote environment, health & education.","AAI is a Marathi word. Which means ?Mother? and Caretaker means a Guardian a word that capture a Mother Spirit who take care of entire universal. AAI Caretaker is a non ? government Organisation registered under the societies registration act 1860 & Bombay Public Trust Act 1950. Whose mandate is to protect and promote environment, health & education. It was established in 2009 and located at Chembur, Mumbai. Community centres, medical assistance, computer education institution, playground, better civic facilities and plantation"
"AAS – Aapulaki Sangh, Mumbai","4, Gandhi Nagar, Kajupada
Mumbai","400072
Maharashtra",,91-99206 89126,aapulaki_sangh@yahoo.com,,Tushar Digambar Koshti,Social services and welfare,"To help the needy and downtrodden in every aspect of living. Whether is education, human right, rural development, animal welfare, womens right, medical, care and supports"
"Aastha Foundation, Mumbai","5, 1st Floor, 21-23, Mumbadevi Mansion
Mumbai","400003
Maharashtra",,91-99691 55499,ams_mmt@yahoo.com,http://www.aasthafoundation.org,Anand Shukla,"Education, health, human rights.",Our mission is to provide education to all children and take care of ill and ignored people society
"Aastha Pratisthan, Mumbai","204, Astavinayaka Co-Operative Housing Society, Rock line, MMRDA Colony, Vashi Naka, Chembur
Mumbai","400074
Maharashtra",,"91-99670 23902, 91-98926 32244",aasthapratisthan@yahoo.com,,"Suresh Kharatmol, Ganesh Gaikwad","Health, human rights, poverty, womens issues, child walfare, disability, education, environmental, social.","To eradicate poverty with best possible development tools. To uplift the poorest of the poor in the rural areas in the area of health, education, economy, finance, to provide equal rights for women, children, disabled people etc. To make awareness in environmental issues"
"Aavhaan Pratishthan, Mumbai","AL-5/3/12, Suyog Apt, Sector 5, Airoli
Mumbai","400708
Maharashtra",,91-98926 33626,jai.kate@rediffmail.com,,Jay Kate,To challenge/discover hidden social skills from yound minds and transform to better society.,Aavhaan is an initiative started by a group of young professionals with a high degree of social and public commitment. An organization evolved to explore talent and innovative ideas of capable youth to transform a better tomorrow. Aavhaan is playing a pivotal role in mobilizing youth energy towards fulfilling social responsibility. Aavhaan drives conviction to youth to grab forthcoming opportunities. Aavhaan is initiative to impart practical platform to tackle social issues and to provide remedy to them
"Abhas Sanskar Kendra, Mumbai","11 Eagle Nest, Jai Shankar Nagar, Duckline Tulsipada, Bhandup (W)
Mumbai","400078
Maharashtra",91-22-5910905,,,,Kiran Mathure,"Aged, Child welfare, Disaster management, Food and Nutrition, Poverty","Abhas Sanskar Kendra is a non-profitable trust engaged in the upliftment of the poor, down trodden and helpless section of society in slum areas and adivasi pockets"
"Abhijeet Mitra Mandal, Mumbai","Nutan Chs 372 Room 9, Sector 3 Charkop Kandivili (W)
Mumbai","400067
Maharashtra",,"91-90298 99088 , 91-97736 17648",abhikamble09@gmail.com,,Abhijeet Kamble,,"Making a good India, help to poor people, making a green India"
"Abhilasha Foundation, Mumbai","Divya Vaishnavi Chs, 22, 1, Rsc 1 & 2, Opp. Reliance Energy, Borivali, Gorai-3
Mumbai
Maharashtra
400091", , ,98678 27286,project@abhilasha-foundation.org,www.abhilasha-foundation.org,P. Shobhana Anand,"Awareness generation, child labour, child rights, child welfare, climate change, consumer issues, development (general), education, food and nutrition, health, hiv aids, livelihood, orphanage, peace, rehabilitation, self help groups, social awareness, trafficking of women, training, tribal development, women development welfare, women’s issues, yoga, youth.","Our vision is every child has the right to survival, protection, development and participation. Abhilasha foundation works with a view to help the poor community through various activities. Every women in the society has the right to survival, protection, development and empower herself to live a normal life in the society. Our objectives: to provide basic needs for underprivileged people for their holistic development (provides food, shelter, clothing, education and medical)"
