user,ngo_name,contact_number,email,address,state,logo
100,"Aadeeyoga Foundation, Mumbai",91-93222 95161,raksha131@gmail.com,"427/429, SVP Road, Prarthana Samaj, Charni Road
Mumbai",Maharashtra,
101,"Aadhar Charitable Trust, Mumbai",91-98204 81442,aadhat.trust@yahoo.com,"Mumbai
Mumbai",Maharashtra,
102,"AAI Caretaker, Mumbai","91-98216 24480, 91-98216 24480",aaicaretaker@email.com,"B-4, Ashok Nagar, Vasinaka, Chembur
Mumbai",Maharashtra,
103,"AAS – Aapulaki Sangh, Mumbai",91-99206 89126,aapulaki_sangh@yahoo.com,"4, Gandhi Nagar, Kajupada
Mumbai",Maharashtra,
104,"Aastha Foundation, Mumbai",91-99691 55499,ams_mmt@yahoo.com,"5, 1st Floor, 21-23, Mumbadevi Mansion
Mumbai",Maharashtra,
105,"Aastha Pratisthan, Mumbai","91-99670 23902, 91-98926 32244",aasthapratisthan@yahoo.com,"204, Astavinayaka Co-Operative Housing Society, Rock line, MMRDA Colony, Vashi Naka, Chembur
Mumbai",Maharashtra,
106,"Aavhaan Pratishthan, Mumbai",91-98926 33626,jai.kate@rediffmail.com,"AL-5/3/12, Suyog Apt, Sector 5, Airoli
Mumbai",Maharashtra,
107,"Abhas Sanskar Kendra, Mumbai",,,"11 Eagle Nest, Jai Shankar Nagar, Duckline Tulsipada, Bhandup (W)
Mumbai",Maharashtra,
108,"Abhijeet Mitra Mandal, Mumbai","91-90298 99088 , 91-97736 17648",abhikamble09@gmail.com,"Nutan Chs 372 Room 9, Sector 3 Charkop Kandivili (W)
Mumbai",Maharashtra,
109,"Abhilasha Foundation, Mumbai",98678 27286,project@abhilasha-foundation.org,"Divya Vaishnavi Chs, 22, 1, Rsc 1 & 2, Opp. Reliance Energy, Borivali, Gorai-3
Mumbai
Maharashtra
400091",Maharashtra,
110,"Abundant Life Ministries, Mumbai",,alm@vsnl.com,"27/A Chapel Road, BAndhra West
Mumbai",Maharashtra,
111,"Academy for Mobilising Urban Rural Action through Education, Mumbai",,amrae@bol.net.in,"17 Fatimabai Building, Marine Street, Dhobi Talao
Mumbai",Maharashtra,
112,"ACASH, Mumbai",,acashorg@vsnl.com,"2nd Floor, 417 S V P Road, Girgaum
Mumbai",Maharashtra,
113,"Acil Navasarjan Rural Development Foundation, Mahim",,anardefoundation@vsnl.net,"409 New Udyog Mandir, No 2 Moghul lane
Mahim (West)",Maharashtra,
114,"Acorn Foundation, Mumbai",,dharaviproject@gmail.com,"49/2359, BAndhra Shri Sai Kripa Society, 2nd Floor, Opp M.I.G Club, Gandhinagar
Mumbai",Maharashtra,
115,"Action for Good Governance and Networking in India, Mumbai",,agni@bom8.vsnl.net.in,"Peacock Palace Ground Floor, 69 Bhulabhai Desai Road, Breach Candy
Mumbai",Maharashtra,
116,"Acworth Municipal Hospital for Leprosy, Mumbai",,acworth_leprosy_hosp@hotmail.com,"Major Parmeshwaran Road, Wadala
Mumbai",Maharashtra,
117,"Adarsh Foundation, Mumbai",99876 48294,sujatasawant77@gmail.com,"Bazme Furkan Madarsa, 68, Bermacell Railway Line, Umarwadi Road, Kurla
Mumbai
Maharashtra
400070",Maharashtra,
